url,dlrid,seriesId,seriesName,brandId,seriesImg,specCount,carBody,emission,transmission,maxOriginalPrice,minOriginalPrice,dealerMaxPrice,dealerMinPrice,updatetime
https://dealer.autohome.com.cn/handler/other/getdata?__action=dealerlq.getdealerserieslist&dealerId=7251,7251,4505,KX CROSS,62,https://m1.autoimg.cn/cardfs/product/g28/M05/A4/2E/160x120_0_q87_autohomecar__ChsEfV2kfa2ALKXTAAaTNKRUM8M594.jpg,7,两厢跨界车,1.4L 1.6L,手动 手自一体,90900,74900,90900,74900,2020-02-20 18:24:55
https://dealer.autohome.com.cn/handler/other/getdata?__action=dealerlq.getdealerserieslist&dealerId=7251,7251,3664,KX3傲跑,62,https://m1.autoimg.cn/cardfs/product/g26/M07/15/17/160x120_0_q87_autohomecar__ChcCP13Bj0iAN1mVAAo6l1NVCAQ919.jpg,6,SUV,1.5L 1.6L,手动 手自一体 无级,132800,108800,132800,108800,2020-02-20 18:24:55
https://dealer.autohome.com.cn/handler/other/getdata?__action=dealerlq.getdealerserieslist&dealerId=7251,7251,813,福瑞迪,62,https://m1.autoimg.cn/cardfs/product/g26/M0A/AD/86/160x120_0_q87_autohomecar__ChsEnF2msQuAFIsIAAmViGdYS2w829.jpg,8,三厢车,1.6L,手动 手自一体,102800,78800,102800,78800,2020-02-20 18:24:55
https://dealer.autohome.com.cn/handler/other/getdata?__action=dealerlq.getdealerserieslist&dealerId=7251,7251,4387,焕驰,62,https://m1.autoimg.cn/cardfs/product/g13/M09/8B/BF/160x120_0_q87_autohomecar__wKjBylnKGuOAGgA4AAiu1jgfKxo853.jpg,13,三厢车,1.4L,手动 自动,73900,49900,73900,49900,2020-02-20 18:24:55
https://dealer.autohome.com.cn/handler/other/getdata?__action=dealerlq.getdealerserieslist&dealerId=7251,7251,4523,凯绅,62,https://m1.autoimg.cn/cardfs/product/g19/M05/21/5C/160x120_0_q87_autohomecar__wKjBxFmc5sSAUblxAAnPCkiHbL8709.jpg,8,三厢车,1.6T 1.8L,双离合 手自一体,149800,128800,149800,128800,2020-02-20 18:24:55
https://dealer.autohome.com.cn/handler/other/getdata?__action=dealerlq.getdealerserieslist&dealerId=7251,7251,2319,起亚K2,62,https://m1.autoimg.cn/cardfs/product/g10/M13/93/CB/160x120_0_q87_autohomecar__wKgH0Vgj0y-AYDjUAAfEQDJJbd0247.jpg,14,三厢车,1.4L 1.6L,手动 手自一体,103900,72900,103900,72900,2020-02-20 18:24:55
https://dealer.autohome.com.cn/handler/other/getdata?__action=dealerlq.getdealerserieslist&dealerId=7251,7251,2886,起亚K3,62,https://m1.autoimg.cn/cardfs/product/g2/M09/6C/3A/160x120_0_q87_autohomecar__ChsEkFzFe9qALhQpAAvJ6Csb7TY884.jpg,10,三厢车,1.4T 1.5L 1.6L,双离合 手自一体 无级,128800,98800,128800,98800,2020-02-20 18:24:55
https://dealer.autohome.com.cn/handler/other/getdata?__action=dealerlq.getdealerserieslist&dealerId=7251,7251,5188,起亚K3新能源,62,https://m1.autoimg.cn/cardfs/product/g2/M0B/67/1F/160x120_0_q87_autohomecar__ChsEkF0_qOSAcb4tAAqIrQkI-XU312.jpg,2,三厢车,1.6L,双离合,218800,209800,218800,209800,2020-02-20 18:24:55
https://dealer.autohome.com.cn/handler/other/getdata?__action=dealerlq.getdealerserieslist&dealerId=7251,7251,2246,起亚K5,62,https://m1.autoimg.cn/cardfs/product/g28/M02/8B/B8/160x120_0_q87_autohomecar__ChsEnlxH4PmARvGCAAz299x_Gf8719.jpg,6,三厢车,1.6T 2.0L,双离合 手自一体,173800,164800,173800,164800,2020-02-20 18:24:55
https://dealer.autohome.com.cn/handler/other/getdata?__action=dealerlq.getdealerserieslist&dealerId=7251,7251,4834,起亚K5新能源,62,https://m1.autoimg.cn/cardfs/product/g24/M07/BE/FC/160x120_0_q87_autohomecar__ChcCL14e1h-AJ0vKAAbnhpRReSM623.jpg,4,三厢车,2.0L,手自一体,239800,222800,213100,196100,2020-02-20 18:24:55
